,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
0,HEL,LON,2023-11-30,10:10 pm , 11:20 pm,0,3h 10m,0,Ryanair,USD,27,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
1,HEL,LON,2023-11-30,9:10 am , 10:20 am,0,3h 10m,0,Norwegian,USD,61,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
2,HEL,LON,2023-11-30,7:50 am , 9:10 am,0,3h 20m,0,Finnair,USD,161,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
3,HEL,LON,2023-11-30,2:00 pm , 3:15 pm,0,3h 15m,0,Finnair,USD,168,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
4,HEL,LON,2023-11-30,7:35 pm , 8:40 pm,0,3h 05m,0,Finnair,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
5,HEL,LON,2023-11-30,7:35 pm , 8:40 pm,0,3h 05m,0,British Airways,USD,196,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
6,HEL,LON,2023-11-30,2:00 pm , 3:15 pm,0,3h 15m,0,British Airways,USD,196,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
7,HEL,LON,2023-11-30,4:00 pm , 5:00 pm,0,3h 00m,0,Finnair,USD,203,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
8,HEL,LON,2023-11-30,7:45 pm , 10:45 pm,1,5h 00m,90,"Norwegian, Ryanair",USD,77,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
9,HEL,LON,2023-11-30,1:15 pm , 4:25 pm,1,5h 10m,70,Scandinavian Airlines,USD,95,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
10,HEL,LON,2023-11-30,4:40 pm , 7:30 pm,1,4h 50m,75,Norwegian,USD,105,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
11,HEL,LON,2023-11-30,5:20 am , 8:40 am,1,5h 20m,80,airBaltic,USD,99,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
12,HEL,LON,2023-11-30,4:25 pm , 7:55 pm,1,5h 30m,95,Scandinavian Airlines,USD,99,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
