,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
34,HEL,LON,2023-11-30,7:25 am , 12:55 pm,1,7h 30m,215,Scandinavian Airlines,USD,150,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
35,HEL,LON,2023-11-30,12:05 pm , 7:35 pm,1,9h 30m,360,"Finnair, Ryanair UK",USD,90,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
36,HEL,LON,2023-11-30,10:15 am , 5:00 pm,1,8h 45m,300,Scandinavian Airlines,USD,121,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
37,HEL,LON,2023-11-30,5:20 am , 11:55 am,2,8h 35m,215,"airBaltic, Ryanair UK",USD,91,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
38,HEL,LON,2023-11-30,1:30 pm , 7:55 pm,1,8h 25m,275,Scandinavian Airlines,USD,150,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
39,HEL,LON,2023-11-30,10:15 am , 5:55 pm,1,9h 40m,355,Scandinavian Airlines,USD,121,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
40,HEL,LON,2023-11-30,7:40 am , 4:20 pm,1,10h 40m,415,Norwegian,USD,105,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
41,HEL,LON,2023-11-30,8:40 am , 4:35 pm,1,9h 55m,360,"airBaltic, Ryanair",USD,105,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
42,HEL,LON,2023-11-30,6:30 am , 4:00 pm,1,11h 30m,455,Scandinavian Airlines,USD,107,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
43,HEL,LON,2023-11-30,10:45 am , 6:55 pm,2,10h 10m,170,Ryanair,USD,90,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
44,HEL,LON,2023-11-30,10:45 am , 6:55 pm,2,10h 10m,170,Ryanair,USD,90,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
45,HEL,LON,2023-11-30,3:30 pm , 10:45 pm,2,9h 15m,270,"airBaltic, Ryanair",USD,105,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
46,HEL,LON,2023-11-30,7:40 am , 1:25 pm,2,7h 45m,200,Norwegian,USD,147,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
47,HEL,LON,2023-11-30,10:45 am , 6:35 pm,2,9h 50m,165,"Ryanair, Vueling",USD,109,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
48,HEL,LON,2023-11-30,7:25 am , 5:55 pm,1,12h 30m,520,Scandinavian Airlines,USD,99,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
49,HEL,LON,2023-11-30,4:00 pm , 8:10 pm,1,6h 10m,65,"Finnair, Wizz Air Malta",USD,133,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
50,HEL,LON,2023-11-30,6:20 pm , 9:45 pm,1,5h 25m,95,"Scandinavian Airlines, easyJet",USD,145,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
