,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
134,HEL,LON,2023-11-30,8:25 PM,12:55 PM+1,1,18 hr 30 min,880,"Scandinavian Airlines, Operated by Sas Connect",USD,220,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
135,HEL,LON,2023-11-30,6:30 AM,1:00 PM,2,8 hr 30 min,190,"Scandinavian Airlines, SWISS, Operated by Cityjet",USD,228,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
136,HEL,LON,2023-11-30,6:30 AM,5:05 PM,2,12 hr 35 min,445,"Scandinavian Airlines, SWISS, Operated by Cityjet",USD,228,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
137,HEL,LON,2023-11-30,5:40 PM,9:25 PM,1,5 hr 45 min,60,Air France,USD,236,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
138,HEL,LON,2023-11-30,3:30 PM,9:40 PM,2,8 hr 10 min,220,"Air Baltic, Scandinavian Airlines, Operated by Sas Connect",USD,236,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
139,HEL,LON,2023-11-30,6:30 AM,5:40 PM,2,13 hr 10 min,505,"Scandinavian Airlines, Lufthansa, Operated by Sas Connect, Lufthansa CityLine",USD,243,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
140,HEL,LON,2023-11-30,5:20 AM,10:20 AM,2,7 hr,130,"Air Baltic, Lufthansa",USD,245,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
141,HEL,LON,2023-11-30,5:20 AM,10:45 AM,2,7 hr 25 min,140,"Air Baltic, Lufthansa",USD,245,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
142,HEL,LON,2023-11-30,5:20 AM,4:40 PM,2,13 hr 20 min,515,"Air Baltic, Lufthansa, Operated by Lufthansa CityLine",USD,245,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
143,HEL,LON,2023-11-30,5:20 AM,5:05 PM,2,13 hr 45 min,535,"Air Baltic, Lufthansa",USD,245,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
144,HEL,LON,2023-11-30,3:30 PM,8:45 PM,2,7 hr 15 min,130,"Air Baltic, Lufthansa",USD,249,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
145,HEL,LON,2023-11-30,7:30 PM,10:20 AM+1,2,16 hr 50 min,685,Lufthansa,USD,251,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
146,HEL,LON,2023-11-30,7:30 PM,5:05 PM+1,2,23 hr 35 min,1090,Lufthansa,USD,251,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
147,HEL,LON,2023-11-30,7:30 PM,5:05 PM+1,2,23 hr 35 min,1090,Lufthansa,USD,251,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
148,HEL,LON,2023-11-30,7:30 PM,5:05 PM+1,2,23 hr 35 min,1090,Lufthansa,USD,251,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
149,HEL,LON,2023-11-30,7:30 PM,5:05 PM+1,2,23 hr 35 min,1090,Lufthansa,USD,251,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
150,HEL,LON,2023-11-30,10:15 AM,5:50 PM,2,9 hr 35 min,255,"Scandinavian Airlines, SWISS, Operated by Xfly",USD,258,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
